#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
SRS018300_Baylor_scaffold_32300/278-113      -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.0     2e-16 !   -
SRS014923_WUGC_scaffold_6854/3117-3007       -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.48   0.0   75.0   2.2e-16 !   -
UnmappedStool_Broad_scaffold_1058661/574-684 -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.54   0.0   74.6   2.8e-16 !   -
SRS014459_WUGC_scaffold_56116/666-776        -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.54   0.0   74.6   2.8e-16 !   -
DLF009_scaffold36204_1/195-304               -         FMN                  RF00050    cm        1      140        1      110      +    no    1 0.46   0.0   74.5   2.8e-16 !   -
SRS023926_Baylor_scaffold_34980/57-222       -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   74.5     3e-16 !   -
2210050239/194-123                      -         Purine               RF00167    cm       21       85        4       68      +    no    1 0.37   0.0   59.2   2.6e-09 !   -
NC_018515.1/1957099-1957170             -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.42   0.0   55.8   1.8e-08 !   -
SRS022725_LANL_scaffold_14639/9833-9903 -         Purine               RF00167    cm       19       87        2       70      +    no    1 0.42   0.0   55.5   2.1e-08 !   -
NZ_KB910518.1/248829-248901             -         Purine               RF00167    cm       18       88        1       73      +    no    1 0.47   0.0   54.0   5.1e-08 !   -
NZ_CM001441.1/3811887-3811816           -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.42   0.0   53.6   6.4e-08 !   -
PBDCA2_FIDWTPW02RZSYX/39-110            -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.46   0.0   47.9   1.6e-06 !   -
PRSSGFe2_Sequence0000017801/1673-1744   -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.49   0.0   45.2   7.4e-06 !   -
PRSSGFe2_Sequence0000053205/702-631     -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.46   0.0   44.3   1.3e-05 !   -
JGI994J12354_10789491/106-35            -         Purine               RF00167    cm       18       88        1       72      +    no    1 0.44   0.0   39.1   0.00024 !   -
SRS019129_C1877810/92-21                -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS054430_C1982167/38-109               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS065099_LANL_scaffold_70049/10-81     -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
NC_022237.1/252678-252749               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
NZ_ANFT01000007.1/157296-157367         -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS014691_C2647316/32-103               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS023964_C2486148/42-113               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS064449_C3857174/153-224              -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
NZ_JH376756.1/51722-51651               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
NC_022246.1/257606-257677               -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
SRS011126_C4663748/451-522              -         Purine               RF00167    cm       24       82        7       67      +    no    1 0.38   0.0   38.9   0.00026 !   -
JGI12031J13088_108784/126-54            -         Purine               RF00167    cm       21       85        4       70      +    no    1 0.48   0.0   37.8   0.00049 !   -
JGI11984J13269_126792/141-69            -         Purine               RF00167    cm       21       85        4       70      +    no    1 0.48   0.0   37.8   0.00049 !   -
NZ_DS995355.1/223889-224066       -         Glycine              RF00504    cm        1       94        5      110      +    no    1 0.42   0.0   37.0   2.8e-05 !   -
MA40A_GDRVJ9S02J1Z3I_right/43-224 -         Glycine              RF00504    cm        1       94        5      113      +    no    1 0.41   0.0   32.1   0.00057 !   -
NC_003869.1/706140-706376                -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.63   0.0   83.1     1e-15 !   -
NC_007644.1/1536251-1536015              -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.59   0.0   82.1   1.8e-15 !   -
AACY01120393.1/33821-34057               -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.49   0.0   81.9     2e-15 !   -
NZ_AAKQ01000003.1/58667-58431            -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.54   0.0   81.2   2.9e-15 !   -
NZ_AAKU01000048.1/2875-2638              -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.39   0.0   80.2   4.9e-15 !   -
NZ_AALH01000007.1/38142-38379            -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.49   0.0   79.8   6.3e-15 !   -
AACY01051687.1/29054-28817               -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.49   0.0   79.8   6.3e-15 !   -
NC_007503.1/90445-90210                  -         c-di-GMP-I           RF01051    cm        8       87        1       80      +    5'    2 0.56   0.0   79.7   6.5e-15 !   -
NC_007503.1/851296-851533                -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.60   0.0   78.7   1.1e-14 !   -
NZ_AAIO01000021.1/39081-39318            -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.50   0.0   78.6   1.2e-14 !   -
NZ_AATK01000022.1/37835-37598            -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.50   0.0   78.6   1.2e-14 !   -
NZ_AAKU01000072.1/19443-19680            -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.38   0.0   78.4   1.3e-14 !   -
NC_008321.1/3357377-3357141              -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.49   0.0   78.2   1.5e-14 !   -
NC_008322.1/3427742-3427506              -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.49   0.0   78.2   1.5e-14 !   -
NZ_AAKU01000041.1/13084-12850            -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.43   0.0   78.1   1.6e-14 !   -
NZ_AAKU01000109.1/8750-8512              -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.39   0.0   77.4   2.3e-14 !   -
NZ_AAOX01000007.1/21294-21058            -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.48   0.0   77.1   2.7e-14 !   -
NZ_AAOP01000061.1/15039-14807            -         c-di-GMP-I           RF01051    cm        8       87        1       77      +    5'    2 0.53   0.0   76.9     3e-14 !   -
NC_006370.1/2634481-2634717              -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.49   0.0   76.9     3e-14 !   -
NZ_AAKU01000005.1/13685-13919            -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.46   0.0   76.7   3.3e-14 !   -
NZ_AAJF01000025.1/15131-14894            -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.63   0.0   76.5   3.8e-14 !   -
AACY01051455.1/8816-8574                 -         c-di-GMP-I           RF01051    cm       11       87        4       87      +    no    2 0.42   0.0   76.2   4.3e-14 !   -
NZ_AALW01000025.1/10447-10209            -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.57   0.0   76.1   4.6e-14 !   -
NC_007644.1/2598937-2598700              -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.55   0.0   76.1   4.7e-14 !   -
AACY01072018.1/1679-1913                 -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.57   0.0   76.1   4.8e-14 !   -
NZ_AAOH01000007.1/198689-198925          -         c-di-GMP-I           RF01051    cm       11       87        4       81      +    no    2 0.49   0.0   75.5   6.5e-14 !   -
NZ_AAOZ01000009.1/24934-25185            -         c-di-GMP-I           RF01051    cm        8       87        1       96      +    5'    2 0.46   0.0   75.2   7.6e-14 !   -
AACY01000627.1/67366-67122               -         c-di-GMP-I           RF01051    cm       11       87        4       89      +    no    2 0.43   0.0   75.2   7.6e-14 !   -
NZ_AAPH01000029.1/24025-23789            -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.52   0.0   75.2   7.8e-14 !   -
NZ_AAOX01000001.1/400824-401055          -         c-di-GMP-I           RF01051    cm        8       87        1       76      +    5'    2 0.47   0.0   75.1     8e-14 !   -
NC_004347.1/1112481-1112723              -         c-di-GMP-I           RF01051    cm       11       87        4       87      +    no    2 0.42   0.0   75.1   8.2e-14 !   -
NZ_AAKU01000018.1/30739-30501            -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.39   0.0   75.0   8.6e-14 !   -
NC_006513.1/718866-719099                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.62   0.0   74.9   8.9e-14 !   -
NC_006370.1/2427572-2427826              -         c-di-GMP-I           RF01051    cm        9       87        2       99      +    no    2 0.40   0.0   74.7     1e-13 !   -
NZ_AALH01000037.1/36492-36248            -         c-di-GMP-I           RF01051    cm       11       87        4       89      +    no    2 0.44   0.0   74.5   1.1e-13 !   -
AACY01284074.1/497-253                   -         c-di-GMP-I           RF01051    cm       11       87        4       89      +    no    2 0.44   0.0   74.5   1.1e-13 !   -
NZ_AALW01000029.1/1770-2008              -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.58   0.0   74.4   1.2e-13 !   -
NZ_AABG04000035.1/25415-25181            -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.47   0.0   74.4   1.2e-13 !   -
NZ_AAND01000010.1/47376-47142            -         c-di-GMP-I           RF01051    cm        9       87        2       79      +    no    2 0.53   0.0   74.1   1.4e-13 !   -
NC_008321.1/3621627-3621383              -         c-di-GMP-I           RF01051    cm       11       87        4       89      +    no    2 0.44   0.0   74.1   1.4e-13 !   -
NC_008322.1/1084468-1084712              -         c-di-GMP-I           RF01051    cm       11       87        4       89      +    no    2 0.44   0.0   73.9   1.6e-13 !   -
NZ_AALW01000051.1/6424-6669              -         c-di-GMP-I           RF01051    cm        8       87        1       91      +    5'    2 0.53   0.0   73.7   1.8e-13 !   -
NZ_AALW01000072.1/611-859                -         c-di-GMP-I           RF01051    cm        8       87        1       93      +    5'    2 0.54   0.0   73.6   1.8e-13 !   -
NZ_AAOH01000011.1/15155-14922            -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.40   0.0   73.6   1.8e-13 !   -
NZ_AAJH01000033.1/4090-3851              -         c-di-GMP-I           RF01051    cm        8       87        1       84      +    5'    2 0.55   0.0   73.5   1.9e-13 !   -
NZ_AAKU01000027.1/37722-37484            -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.42   0.0   73.2   2.2e-13 !   -
AACY01017015.1/1336-1099                 -         c-di-GMP-I           RF01051    cm        8       87        1       82      +    5'    2 0.50   0.0   73.2   2.3e-13 !   -
NC_007503.1/777679-777912                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.62   0.1   73.0   2.6e-13 !   -
NC_007644.1/394734-394968                -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.58   0.0   72.9   2.7e-13 !   -
NZ_AAIO01000008.1/90948-91196            -         c-di-GMP-I           RF01051    cm       11       87        4       93      +    no    2 0.41   0.0   72.8   2.8e-13 !   -
NZ_AATK01000001.1/353245-352997          -         c-di-GMP-I           RF01051    cm       11       87        4       93      +    no    2 0.41   0.0   72.8   2.8e-13 !   -
AACY01087074.1/8438-8674                 -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.56   0.0   72.6   3.1e-13 !   -
NZ_AAOX01000001.1/401431-401666          -         c-di-GMP-I           RF01051    cm       12       87        5       80      +    no    2 0.51   0.0   72.6   3.2e-13 !   -
NC_007503.1/875560-875795                -         c-di-GMP-I           RF01051    cm       11       87        4       80      +    no    2 0.65   0.1   72.6   3.2e-13 !   -
NC_007503.1/906921-907153                -         c-di-GMP-I           RF01051    cm        8       87        1       77      +    5'    2 0.56   0.0   72.3   3.8e-13 !   -
NZ_AAOJ01000002.1/319461-319700          -         c-di-GMP-I           RF01051    cm       11       87        4       84      +    no    2 0.37   0.0   72.3   3.8e-13 !   -
NZ_AAOU01000011.1/39728-39489            -         c-di-GMP-I           RF01051    cm       11       87        4       84      +    no    2 0.37   0.0   72.3   3.8e-13 !   -
NZ_AABG04000035.1/25154-24915            -         c-di-GMP-I           RF01051    cm        8       87        1       84      +    5'    2 0.45   0.0   72.1   4.1e-13 !   -
NZ_AAJF01000089.1/7303-7541              -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.60   0.0   72.0   4.4e-13 !   -
NC_007644.1/543022-543258                -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.65   0.2   72.0   4.5e-13 !   -
NZ_AAMR01000021.1/11847-11613            -         c-di-GMP-I           RF01051    cm        9       87        2       79      +    no    2 0.51   0.0   71.6   5.5e-13 !   -
NC_007503.1/900392-900625                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.60   0.1   71.4   6.1e-13 !   -
NC_002505.1/1860690-1860925              -         c-di-GMP-I           RF01051    cm        9       87        2       80      +    no    2 0.54   0.0   71.3   6.3e-13 !   -
NZ_AAKG01000001.1/1413803-1414038        -         c-di-GMP-I           RF01051    cm        9       87        2       80      +    no    2 0.56   0.0   71.2   6.8e-13 !   -
NZ_AAKU01000077.1/12384-12618            -         c-di-GMP-I           RF01051    cm        9       87        2       79      +    no    2 0.47   0.0   71.0   7.6e-13 !   -
NC_007907.1/15633-15395                  -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.57   0.0   70.9     8e-13 !   -
NC_006840.1/1765122-1765353              -         c-di-GMP-I           RF01051    cm        9       87        2       76      +    no    2 0.45   0.0   70.8   8.3e-13 !   -
AACY01085957.1/232-1                     -         c-di-GMP-I           RF01051    cm       11       87        4       79      +    no    2 0.57   0.0   70.7   8.8e-13 !   -
NZ_AABG04000005.1/29518-29764            -         c-di-GMP-I           RF01051    cm        9       87        2       91      +    no    2 0.42   0.0   70.7   9.1e-13 !   -
NZ_AAPH01000002.1/334491-334746          -         c-di-GMP-I           RF01051    cm        9       87        2      100      +    no    2 0.40   0.0   70.6   9.2e-13 !   -
NZ_AAKU01000035.1/35923-36135            -         c-di-GMP-I           RF01051    cm        8       87        1       79      +    5'    2 0.46   0.0   70.5   9.8e-13 !   -
NC_004603.1/1078742-1078504              -         c-di-GMP-I           RF01051    cm        9       87        2       83      +    no    2 0.55   0.0   70.5     1e-12 !   -
NZ_AAOZ01000009.1/25095-25337            -         c-di-GMP-I           RF01051    cm        8       87        1       87      +    5'    2 0.53   0.0   70.4     1e-12 !   -
NZ_AAPS01000039.1/21459-21697            -         c-di-GMP-I           RF01051    cm        9       87        2       83      +    no    2 0.52   0.0   70.2   1.2e-12 !   -
NZ_AAKU01000041.1/3355-3117              -         c-di-GMP-I           RF01051    cm        8       87        1       83      +    5'    2 0.39   0.0   70.1   1.3e-12 !   -
NZ_AAJF01000012.1/40314-40081            -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.51   0.0   69.9   1.4e-12 !   -
NC_005957.1/421273-421506                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.49   0.0   69.8   1.5e-12 !   -
NC_003997.3/397292-397525                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.49   0.0   69.8   1.5e-12 !   -
NC_006274.1/414665-414898                -         c-di-GMP-I           RF01051    cm        8       87        1       78      +    5'    2 0.49   0.0   69.8   1.5e-12 !   -
SL_8KL_010_SED_10174603/248-117          -         c-di-GMP-I           RF01051    cm        2       87        1       91      +    5'    2 0.49   0.0   69.7   1.5e-12 !   -
NZ_AAJF01000020.1/67248-67012            -         c-di-GMP-I           RF01051    cm        8       87        1       81      +    5'    2 0.60   0.0   69.6   1.6e-12 !   -
NZ_AAKK01000069.1/16343-16581            -         c-di-GMP-I           RF01051    cm        9       87        2       83      +    no    2 0.52   0.0   69.5   1.7e-12 !   -
NC_007907.1/5220217-5219978              -         c-di-GMP-I           RF01051    cm        8       87        1       84      +    5'    2 0.49   0.0   69.2     2e-12 !   -
NC_003910.7/4612611-4612842              -         c-di-GMP-I           RF01051    cm        8       87        1       76      +    5'    2 0.42   0.0   69.1   2.1e-12 !   -
